LOKACIJA,"JA - Katastar"
﻿ADRESA,"Kralja Petra I,br. 6"
﻿GPS_POZICIJA,"21.26150000, 43.97550000"
﻿VRSTA_SENZORA,"Sirokopojasno merenje (100kHz – 7GHz)"
﻿VRSTA_MERENJA,"Mereno je elektricno polje"
﻿JEDINICA_MERE,V/m
﻿AKTIVNO,Da
RBR,DATUM_VREME,VREDNOST_POLJA,GRANICA_POLJA,GORNJA_NESIGURNOST,DONJA_NESIGURNOST,GORNJA_IZLOZENOST,DONJA_IZLOZENOST,GRANICA_IZLOZENOST,TEMPERATURA,VLAZNOST
162,"2018-12-28 16:06:00",3.48,11.000,4.2456,2.7144,0.10008595041322,0.01,1,10.000,58.000
163,"2018-12-28 16:12:00",3.50,11.000,4.27,2.73,0.10123966942149,0.010115272823358,1,10.000,58.000
164,"2018-12-28 16:18:00",3.61,11.000,4.4042,2.8158,0.10770330578512,0.010761081384595,1,10.000,58.000
165,"2018-12-28 16:24:00",3.60,11.000,4.392,2.808,0.10710743801653,0.010701545778835,1,10.000,58.000
166,"2018-12-28 16:30:00",3.58,11.000,4.3676,2.7924,0.10592066115702,0.010582970009248,1,10.000,58.000
167,"2018-12-28 16:36:00",3.57,11.000,4.3554,2.7846,0.10532975206612,0.010523929845422,1,10.000,58.000
168,"2018-12-28 16:42:00",3.67,11.000,4.4774,2.8626,0.1113132231405,0.011121763112697,1,10.000,58.000
169,"2018-12-28 16:48:00",3.69,11.000,4.5018,2.8782,0.11252975206612,0.011243311533888,1,10.000,58.000
170,"2018-12-28 16:54:00",3.69,11.000,4.5018,2.8782,0.11252975206612,0.011243311533888,1,10.000,58.000
171,"2018-12-28 17:00:00",3.58,11.000,4.3676,2.7924,0.10592066115702,0.010582970009248,1,10.000,58.000
172,"2018-12-28 17:06:00",3.50,11.000,4.27,2.73,0.10123966942149,0.010115272823358,1,10.000,58.000
173,"2018-12-28 17:12:00",3.50,11.000,4.27,2.73,0.10123966942149,0.010115272823358,1,10.000,58.000
174,"2018-12-28 17:18:00",3.44,11.000,4.1968,2.6832,0.097798347107438,0.00977143612102,1,10.000,58.000
175,"2018-12-28 17:24:00",3.41,11.000,4.1602,2.6598,0.0961,0.0096017472585546,1,10.000,58.000
176,"2018-12-28 17:30:00",3.43,11.000,4.1846,2.6754,0.097230578512397,0.0097147080195534,1,10.000,58.000
177,"2018-12-28 17:36:00",3.50,11.000,4.27,2.73,0.10123966942149,0.010115272823358,1,10.000,58.000
178,"2018-12-28 17:42:00",3.50,11.000,4.27,2.73,0.10123966942149,0.010115272823358,1,10.000,58.000
179,"2018-12-28 17:48:00",3.46,11.000,4.2212,2.6988,0.098938842975207,0.0098853877658872,1,10.000,58.000
180,"2018-12-28 17:54:00",3.48,11.000,4.2456,2.7144,0.10008595041322,0.01,1,10.000,58.000
181,"2018-12-28 18:00:00",3.52,11.000,4.2944,2.7456,0.1024,0.010231206235962,1,10.000,58.000
182,"2018-12-28 18:06:00",3.50,11.000,4.27,2.73,0.10123966942149,0.010115272823358,1,10.000,58.000
183,"2018-12-28 18:12:00",3.54,11.000,4.3188,2.7612,0.10356694214876,0.010347800237812,1,10.000,58.000
184,"2018-12-28 18:18:00",3.58,11.000,4.3676,2.7924,0.10592066115702,0.010582970009248,1,10.000,58.000
185,"2018-12-28 18:24:00",3.48,11.000,4.2456,2.7144,0.10008595041322,0.01,1,10.000,58.000
186,"2018-12-28 18:30:00",3.44,11.000,4.1968,2.6832,0.097798347107438,0.00977143612102,1,10.000,58.000
187,"2018-12-28 18:36:00",3.42,11.000,4.1724,2.6676,0.096664462809917,0.0096581450653983,1,10.000,58.000
188,"2018-12-28 18:42:00",3.50,11.000,4.27,2.73,0.10123966942149,0.010115272823358,1,10.000,58.000
189,"2018-12-28 18:48:00",3.51,11.000,4.2822,2.7378,0.10181900826446,0.010173156956005,1,10.000,58.000
190,"2018-12-28 18:54:00",3.45,11.000,4.209,2.691,0.098367768595041,0.0098283293697979,1,10.000,58.000
191,"2018-12-28 19:00:00",3.47,11.000,4.2334,2.7066,0.099511570247934,0.0099426113092879,1,10.000,58.000
192,"2018-12-28 19:06:00",3.60,11.000,4.392,2.808,0.10710743801653,0.010701545778835,1,10.000,58.000
193,"2018-12-28 19:12:00",3.52,11.000,4.2944,2.7456,0.1024,0.010231206235962,1,10.000,58.000
194,"2018-12-28 19:18:00",3.40,11.000,4.148,2.652,0.095537190082645,0.0095455145990223,1,10.000,58.000
